,Baseline,MCPPO,HRL
400,385.1479817594601,411.0846484740274,291.0067094011228
500,402.8372782998533,418.5997007219469,279.25728589701316
600,363.56600471304534,419.44168766164586,263.34584294329113
700,387.4814016433796,416.85039643841066,262.2339490095642
800,359.219369522246,418.04453197315087,283.29229006152093
900,371.3005538129855,419.41281653243925,255.62780305415004
1000,377.3321799892516,421.2195741900192,260.74952616257923
1100,342.1455360058455,416.8214556496259,263.35482345341126
1200,359.1849500690558,419.8898011333932,
1300,337.0236147438355,418.4574386502027,
1400,364.0160598541934,416.88789428581373,
1500,338.3539617371308,419.16503274896473,
